mergednewScores
,name,pred_points,Unnamed: 0,first_name,second_name,Name,element_type,Team,now_cost
520,Haydon Roberts,0.0,141,Haydon,Roberts,Haydon Roberts,DEF,Brighton,4.0
521,Liam McCarron,0.005586862564086910,339,Liam,McCarron,Liam McCarron,MID,Leeds,4.5
522,Cameron Archer,0.0,66,Cameron,Archer,Cameron Archer,FWD,Aston Villa,4.5
523,Lyanco Evangelista Silveira Neves Vojnovic,0.0,537,Lyanco Evangelista,Silveira Neves Vojnovic,Lyanco Evangelista Silveira Neves Vojnovic,DEF,Southampton,4.4
524,Arthur Okonkwo,0.0,34,Arthur,Okonkwo,Arthur Okonkwo,GK,Arsenal,3.9
525,Finley Stevens,0.0,103,Finley,Stevens,Finley Stevens,DEF,Brentford,3.9
526,Maxwel Cornet,1.8978497982025100,175,Maxwel,Cornet,Maxwel Cornet,MID,Burnley,5.9
527,Alex Kral,0.0020795478485524700,647,Alex,Kral,Alex Kral,MID,West Ham,4.4
528,Hee-Chan Hwang,0.0,682,Hee-Chan,Hwang,Hee-Chan Hwang,FWD,Wolves,5.4
529,Cristiano Ronaldo dos Santos Aveiro,8.005541801452640,443,Cristiano Ronaldo,dos Santos Aveiro,Cristiano Ronaldo dos Santos Aveiro,FWD,Man Utd,12.5
530,Joe White,0.0,473,Joe,White,Joe White,MID,Newcastle,4.4
531,Viljami Sinisalo,0.0,67,Viljami,Sinisalo,Viljami Sinisalo,GK,Aston Villa,4.0
532,Emerson Aparecido Leite de Souza Junior,1.0082913637161300,570,Emerson Aparecido,Leite de Souza Junior,Emerson Aparecido Leite de Souza Junior,DEF,Spurs,5.0
533,Takehiro Tomiyasu,2.709994316101070,35,Takehiro,Tomiyasu,Takehiro Tomiyasu,DEF,Arsenal,4.7
534,Mathias Normann,1.0975502729415900,506,Mathias,Normann,Mathias Normann,MID,Norwich,4.5
535,Tobi Omole,0.0,572,Tobi,Omole,Tobi Omole,DEF,Spurs,3.9
536,Marc Cucurella,0.0,142,Marc,Cucurella,Marc Cucurella,DEF,Brighton,5.1
537,Odsonne Edouard,0.44919267296791100,239,Odsonne,Edouard,Odsonne Edouard,FWD,Crystal Palace,6.4
538,Dilan Markanday,0.0,571,Dilan,Markanday,Dilan Markanday,MID,Spurs,4.5
539,Joshua Wilson-Esbrand,0.0,410,Joshua,Wilson-Esbrand,Joshua Wilson-Esbrand,DEF,Man City,3.9
540,Stuart McKinstry,0.17923302948474900,342,Stuart,McKinstry,Stuart McKinstry,MID,Leeds,4.3
541,Romeo Lavia,0.0,411,Romeo,Lavia,Romeo Lavia,MID,Man City,4.4
542,Nohan Kenneh,0.0,341,Nohan,Kenneh,Nohan Kenneh,MID,Leeds,4.4
543,Louie Moulden,0.0,683,Louie,Moulden,Louie Moulden,GK,Wolves,4.0
544,Lamare Bogarde,0.0,68,Lamare,Bogarde,Lamare Bogarde,DEF,Aston Villa,4.0
545,Lewis Dobbin,0.029327822849154500,272,Lewis,Dobbin,Lewis Dobbin,FWD,Everton,4.5
546,Leo Fuhr Hjelde,0.0,343,Leo Fuhr,Hjelde,Leo Fuhr Hjelde,DEF,Leeds,4.0
547,Charlie Whitaker,0.0,273,Charlie,Whitaker,Charlie Whitaker,MID,Everton,4.5
548,Jeremy Sarmiento,0.8109638094902040,144,Jeremy,Sarmiento,Jeremy Sarmiento,MID,Brighton,4.5
549,Harrison Ashby,0.14567099511623400,648,Harrison,Ashby,Harrison Ashby,DEF,West Ham,4.0
550,Cieran Slicker,0.0,412,Cieran,Slicker,Cieran Slicker,GK,Man City,4.0
551,Paris Maghoma,0.0,105,Paris,Maghoma,Paris Maghoma,MID,Brentford,4.5
552,Nicolas Nkoulou,0.0,614,Nicolas,Nkoulou,Nicolas Nkoulou,DEF,Watford,4.4
553,James Storer,0.0,684,James,Storer,James Storer,GK,Wolves,4.0
554,Matthew Cox,0.0,106,Matthew,Cox,Matthew Cox,GK,Brentford,4.0
555,Tyler Morton,0.04980503395199780,378,Tyler,Morton,Tyler Morton,MID,Liverpool,4.5
556,James McAtee,0.0,413,James,McAtee,James McAtee,MID,Man City,4.4
557,Conor Bradley,0.0,380,Conor,Bradley,Conor Bradley,DEF,Liverpool,4.0
558,Maxwell Haygarth,0.0,107,Maxwell,Haygarth,Maxwell Haygarth,MID,Brentford,4.5
559,Kaide Gordon,0.02375846356153490,379,Kaide,Gordon,Kaide Gordon,MID,Liverpool,4.5
560,Owen Beck,0.0,381,Owen,Beck,Owen Beck,DEF,Liverpool,4.0
561,James Morris,0.0,615,James,Morris,James Morris,DEF,Watford,4.0
562,Sonny Perkins,0.0,649,Sonny,Perkins,Sonny Perkins,MID,West Ham,4.5
563,Nathan Young-Coombes,1.2335360050201400,108,Nathan,Young-Coombes,Nathan Young-Coombes,FWD,Brentford,4.5
564,Jonathan Tomkinson,0.0,507,Jonathan,Tomkinson,Jonathan Tomkinson,DEF,Norwich,4.0
565,Kasey McAteer,0.0,311,Kasey,McAteer,Kasey McAteer,MID,Leicester,4.5
566,Ben Nelson,0.0,309,Ben,Nelson,Ben Nelson,DEF,Leicester,4.0
567,Lewis Brunt,0.13890059292316400,310,Lewis,Brunt,Lewis Brunt,MID,Leicester,4.5
568,Vincent Angelini,0.0,616,Vincent,Angelini,Vincent Angelini,GK,Watford,4.0
569,Ajibola Alese,0.0,650,Ajibola,Alese,Ajibola Alese,DEF,West Ham,4.0
570,Filip Marschall,0.0,70,Filip,Marschall,Filip Marschall,GK,Aston Villa,4.0
571,Ed Turns,0.0,145,Ed,Turns,Ed Turns,DEF,Brighton,4.0
572,Marc Leonard,0.0,146,Marc,Leonard,Marc Leonard,MID,Brighton,4.5
573,Jonathan Rowe,0.15191957354545600,508,Jonathan,Rowe,Jonathan Rowe,MID,Norwich,4.4
574,Conrad Egan-Riley,0.0,414,Conrad,Egan-Riley,Conrad Egan-Riley,DEF,Man City,4.0
575,Evan Ferguson,0.08246687799692150,147,Evan,Ferguson,Evan Ferguson,FWD,Brighton,4.5
576,Thomas Dickson-Peters,0.0,509,Thomas,Dickson-Peters,Thomas Dickson-Peters,FWD,Norwich,4.5
577,Armstrong Oko-Flex,0.0,651,Armstrong,Oko-Flex,Armstrong Oko-Flex,MID,West Ham,4.4
578,Brandon Austin,0.0,573,Brandon,Austin,Brandon Austin,GK,Spurs,4.0
579,Jarell Quansah,0.0,383,Jarell,Quansah,Jarell Quansah,DEF,Liverpool,4.0
580,Archie Gray,0.0,347,Archie,Gray,Archie Gray,MID,Leeds,4.5
581,Kris Moore,0.0,346,Kris,Moore,Kris Moore,DEF,Leeds,4.0
582,Dynel Simeu,0.0,540,Dynel,Simeu,Dynel Simeu,DEF,Southampton,4.0
583,Kayky da Silva Chagas,0.0,415,Kayky da Silva,Chagas,Kayky da Silva Chagas,FWD,Man City,5.0
584,Charlie Patino,0.0,36,Charlie,Patino,Charlie Patino,MID,Arsenal,4.5
585,Myles Peart-Harris,0.0,109,Myles,Peart-Harris,Myles Peart-Harris,MID,Brentford,4.5
586,Harvey White,0.0,574,Harvey,White,Harvey White,MID,Spurs,4.4
587,Jon McCracken,0.0,510,Jon,McCracken,Jon McCracken,GK,Norwich,4.0
588,Thierry Small,0.0,541,Thierry,Small,Thierry Small,DEF,Southampton,4.0
589,Kamil Conteh,0.0,617,Kamil,Conteh,Kamil Conteh,MID,Watford,4.5
590,Nathan Patterson,0.0,278,Nathan,Patterson,Nathan Patterson,DEF,Everton,4.5
591,Liam Gibbs,0.0,511,Liam,Gibbs,Liam Gibbs,MID,Norwich,4.5
592,Vitalii Mykolenko,1.0351482629776,279,Vitalii,Mykolenko,Vitalii Mykolenko,DEF,Everton,5.0
593,Lewis Hall,0.0,207,Lewis,Hall,Lewis Hall,MID,Chelsea,4.5
594,Pierre Ekwah,0.0,652,Pierre,Ekwah,Pierre Ekwah,DEF,West Ham,4.0
595,Harvey Vale,0.0,208,Harvey,Vale,Harvey Vale,MID,Chelsea,4.5
596,Josh Feeney,0.0,71,Josh,Feeney,Josh Feeney,DEF,Aston Villa,4.0
597,Samir Caetano de Souza Santos,2.1533408164978000,619,Samir,Caetano de Souza Santos,Samir Caetano de Souza Santos,DEF,Watford,4.5
598,Philippe Coutinho Correia,0.0,72,Philippe,Coutinho Correia,Philippe Coutinho Correia,MID,Aston Villa,7.0
599,Edo Kayembe,0.015017062425613400,620,Edo,Kayembe,Edo Kayembe,MID,Watford,5.0
600,Dion Sanderson,0.0,688,Dion,Sanderson,Dion Sanderson,DEF,Wolves,4.0
601,Kieran Trippier,0.021288786083459900,475,Kieran,Trippier,Kieran Trippier,DEF,Newcastle,5.0
602,Ryan Giles,0.0,689,Ryan,Giles,Ryan Giles,MID,Wolves,4.5
603,Hassane Kamara,0.0,618,Hassane,Kamara,Hassane Kamara,DEF,Watford,4.5
604,Robert Kenedy Nunes do Nascimento,0.0,209,Robert Kenedy,Nunes do Nascimento,Robert Kenedy Nunes do Nascimento,DEF,Chelsea,4.5
