,Name,Team,team_short_name,first_name,second_name,now_cost,element_type,pred_points
630,Adam Masina,Watford,WAT,Adam,Masina,43,DEF,0.0
631,Ken Sema,Watford,WAT,Ken,Sema,52,MID,0.5171393752098083
632,Philip Zinckernagel,Watford,WAT,Philip,Zinckernagel,55,MID,0.0
633,Isaac Success Ajayi,Watford,WAT,Isaac,Success Ajayi,50,FWD,0.1600037217140197
634,Ayotomiwa Dele-Bashiru,Watford,WAT,Ayotomiwa,Dele-Bashiru,45,MID,0.0
635,Ashley Fletcher,Watford,WAT,Ashley,Fletcher,48,FWD,0.0
636,Francisco Sierralta,Watford,WAT,Francisco,Sierralta,43,DEF,0.0
637,Domingos Quina,Watford,WAT,Domingos,Quina,45,MID,0.2710815966129303
638,Marc Navarro,Watford,WAT,Marc,Navarro,40,DEF,0.0019725672900676
639,Ismaila Sarr,Watford,WAT,Ismaila,Sarr,57,MID,0.0
640,Jeremy Ngakia,Watford,WAT,Jeremy,Ngakia,42,DEF,2.573392152786255
641,Ben Wilmot,Watford,WAT,Ben,Wilmot,45,DEF,0.0
642,Joseph Hungbo,Watford,WAT,Joseph,Hungbo,45,MID,0.0
643,Imran Louza,Watford,WAT,Imran,Louza,52,MID,0.0
644,Joao Pedro Junqueira de Jesus,Watford,WAT,Joao Pedro,Junqueira de Jesus,54,FWD,0.0
645,Kwadwo Baah,Watford,WAT,Kwadwo,Baah,43,MID,0.0
646,Emmanuel Dennis,Watford,WAT,Emmanuel,Dennis,59,FWD,0.0
647,Matthew Pollock,Watford,WAT,Matthew,Pollock,40,DEF,0.0
648,Oghenekaro Peter Etebo,Watford,WAT,Oghenekaro Peter,Etebo,43,MID,0.0
649,Joshua King,Watford,WAT,Joshua,King,56,FWD,4.509110450744629
650,Adedapo Awokoya-Mebude,Watford,WAT,Adedapo,Awokoya-Mebude,45,FWD,0.0
651,Juan Camilo Hernandez Suarez,Watford,WAT,Juan Camilo,Hernandez Suarez,49,FWD,0.2347573041915893
652,Juraj Kucka,Watford,WAT,Juraj,Kucka,55,MID,3.524186134338379
653,Ozan Tufan,Watford,WAT,Ozan,Tufan,50,MID,0.445772260427475
654,Robert Elliot,Watford,WAT,Robert,Elliot,40,GK,0.148776888847351
655,Nicolas Nkoulou,Watford,WAT,Nicolas,Nkoulou,44,DEF,0.0
656,James Morris,Watford,WAT,James,Morris,40,DEF,0.0
657,Vincent Angelini,Watford,WAT,Vincent,Angelini,40,GK,0.0
658,Kamil Conteh,Watford,WAT,Kamil,Conteh,45,MID,0.0
659,Hassane Kamara,Watford,WAT,Hassane,Kamara,45,DEF,0.0
660,Samir Caetano de Souza Santos,Watford,WAT,Samir,Caetano de Souza Santos,45,DEF,2.1533408164978027
661,Edo Kayembe,Watford,WAT,Edo,Kayembe,45,MID,0.0150170624256134
662,Samuel Kalu,Watford,WAT,Samuel,Kalu,49,MID,0.0
663,Shaqai Forde,Watford,WAT,Shaqai,Forde,45,FWD,0.0
664,Tiago Cukur,Watford,WAT,Tiago,Cukur,45,FWD,0.0
665,Adrian Blake,Watford,WAT,Adrian,Blake,45,MID,0.0
666,Jack Grieves,Watford,WAT,Jack,Grieves,45,FWD,0.0
667,Kurt Zouma,West Ham,WHU,Kurt,Zouma,54,DEF,0.0
668,Mark Noble,West Ham,WHU,Mark,Noble,43,MID,2.4373269081115723
669,Darren Randolph,West Ham,WHU,Darren,Randolph,43,GK,0.0
670,Lukasz Fabianski,West Ham,WHU,Lukasz,Fabianski,50,GK,2.6991100311279297
671,Angelo Ogbonna,West Ham,WHU,Angelo,Ogbonna,49,DEF,1.7920721769332886
672,Winston Reid,West Ham,WHU,Winston,Reid,39,DEF,0.0
673,Aaron Cresswell,West Ham,WHU,Aaron,Cresswell,54,DEF,2.7867636680603027
674,Andriy Yarmolenko,West Ham,WHU,Andriy,Yarmolenko,51,MID,0.298500657081604
675,Michail Antonio,West Ham,WHU,Michail,Antonio,74,FWD,5.40786600112915
676,Craig Dawson,West Ham,WHU,Craig,Dawson,49,DEF,1.603900909423828
677,Ryan Fredericks,West Ham,WHU,Ryan,Fredericks,44,DEF,0.321996122598648
678,Manuel Lanzini,West Ham,WHU,Manuel,Lanzini,56,MID,2.9937968254089355
679,Arthur Masuaku,West Ham,WHU,Arthur,Masuaku,44,DEF,0.0
680,Vladimir Coufal,West Ham,WHU,Vladimir,Coufal,47,DEF,0.0
681,Said Benrahma,West Ham,WHU,Said,Benrahma,59,MID,0.0
682,Jarrod Bowen,West Ham,WHU,Jarrod,Bowen,68,MID,0.0
683,Declan Rice,West Ham,WHU,Declan,Rice,50,MID,2.10168719291687
684,Tomas Soucek,West Ham,WHU,Tomas,Soucek,57,MID,2.672796726226806
685,Pablo Fornals,West Ham,WHU,Pablo,Fornals,59,MID,1.947034239768982
686,Issa Diop,West Ham,WHU,Issa,Diop,42,DEF,0.0
687,Ben Johnson,West Ham,WHU,Ben,Johnson,39,DEF,0.8233025074005127
688,Alphonse Areola,West Ham,WHU,Alphonse,Areola,47,GK,0.662653923034668
689,Frederik Alves,West Ham,WHU,Frederik,Alves,40,DEF,0.0
690,Conor Coventry,West Ham,WHU,Conor,Coventry,45,MID,0.0
691,Jamal Baptiste,West Ham,WHU,Jamal,Baptiste,39,DEF,0.0
692,Nikola Vlasic,West Ham,WHU,Nikola,Vlasic,56,MID,0.5262663960456848
693,Alex Kral,West Ham,WHU,Alex,Kral,44,MID,0.0020795478485524
694,Harrison Ashby,West Ham,WHU,Harrison,Ashby,40,DEF,0.1456709951162338
695,Sonny Perkins,West Ham,WHU,Sonny,Perkins,45,MID,0.0
696,Ajibola Alese,West Ham,WHU,Ajibola,Alese,40,DEF,0.0
697,Armstrong Oko-Flex,West Ham,WHU,Armstrong,Oko-Flex,44,MID,0.0
698,Pierre Ekwah,West Ham,WHU,Pierre,Ekwah,40,DEF,0.0
699,Daniel Chesters,West Ham,WHU,Daniel,Chesters,45,MID,0.0
700,Joao Filipe Iria Santos Moutinho,Wolves,WOL,Joao Filipe Iria,Santos Moutinho,49,MID,1.8641481399536133
701,Rui Pedro dos Santos Patricio,Wolves,WOL,Rui Pedro,dos Santos Patricio,50,GK,2.0021002292633057
702,Willy Boly,Wolves,WOL,Willy,Boly,49,DEF,4.046984672546387
703,Conor Coady,Wolves,WOL,Conor,Coady,48,DEF,3.316183090209961
704,Raul Jimenez,Wolves,WOL,Raul,Jimenez,75,FWD,0.0915432274341583
705,Romain Saiss,Wolves,WOL,Romain,Saiss,48,DEF,3.0230860710144043
706,Fernando Marcal,Wolves,WOL,Fernando,Marcal,42,DEF,0.8417409062385559
707,Jonathan Castro Otto,Wolves,WOL,Jonathan,Castro Otto,45,DEF,3.0570216178894043
708,Leander Dendoncker,Wolves,WOL,Leander,Dendoncker,46,MID,1.274571180343628
709,Adama Traore,Wolves,WOL,Adama,Traore,56,MID,1.767460584640503
710,Ruben Diogo da Silva Neves,Wolves,WOL,Ruben Diogo,da Silva Neves,52,MID,0.9441365599632264
711,Nelson Cabral Semedo,Wolves,WOL,Nelson,Cabral Semedo,48,DEF,0.0
712,Daniel Castelo Podence,Wolves,WOL,Daniel,Castelo Podence,55,MID,2.5223639011383057
713,Max Kilman,Wolves,WOL,Max,Kilman,45,DEF,0.9524500966072084
714,Morgan Gibbs-White,Wolves,WOL,Morgan,Gibbs-White,45,MID,0.5113154649734497
715,Pedro Lomba Neto,Wolves,WOL,Pedro,Lomba Neto,62,MID,3.5316407680511475
716,Owen Otasowie,Wolves,WOL,Owen,Otasowie,45,MID,0.1673308312892913
717,Ki-Jana Hoever,Wolves,WOL,Ki-Jana,Hoever,39,DEF,0.0
718,Andreas Sondergaard,Wolves,WOL,Andreas,Sondergaard,39,GK,0.0
719,Fabio Silva,Wolves,WOL,Fabio,Silva,56,FWD,0.0
720,Yerson Mosquera Valdelamar,Wolves,WOL,Yerson,Mosquera Valdelamar,44,DEF,0.0
721,John Ruddy,Wolves,WOL,John,Ruddy,43,GK,0.1315232068300247
722,Francisco Machado Mota de Castro Trincao,Wolves,WOL,Francisco,Machado Mota de Castro Trincao,56,MID,0.0
723,Rayan Ait Nouri,Wolves,WOL,Rayan,Ait Nouri,41,DEF,6.709217071533203
724,Jose Malheiro de Sa,Wolves,WOL,Jose,Malheiro de Sa,52,GK,0.5501188635826111
725,Patrick Cutrone,Wolves,WOL,Patrick,Cutrone,50,FWD,0.0255422070622444
726,Luke Cundle,Wolves,WOL,Luke,Cundle,44,MID,1.7818660736083984
727,Chem Campbell,Wolves,WOL,Chem,Campbell,44,MID,0.2976981997489929
728,Christian Marques,Wolves,WOL,Christian,Marques,40,DEF,0.0
729,Hee-Chan Hwang,Wolves,WOL,Hee-Chan,Hwang,54,FWD,0.0
730,Louie Moulden,Wolves,WOL,Louie,Moulden,40,GK,0.0
731,James Storer,Wolves,WOL,James,Storer,40,GK,0.0
732,Hugo Bueno,Wolves,WOL,Hugo,Bueno,40,DEF,0.0
733,Bruno Andre Cavaco Jordao,Wolves,WOL,Bruno Andre,Cavaco Jordao,45,MID,0.0
734,Toti Antonio Gomes,Wolves,WOL,Toti Antonio,Gomes,44,DEF,0.1644053012132644
735,Dion Sanderson,Wolves,WOL,Dion,Sanderson,40,DEF,0.0
736,Ryan Giles,Wolves,WOL,Ryan,Giles,45,MID,0.0
737,Francisco Jorge Tomas Oliveira,Wolves,WOL,Francisco Jorge,Tomas Oliveira,55,MID,0.5288478136062622
